,name,location,id,rating,review_count,price,latitude,longitude
132,Brandywine Liquor,"1655 Brandywine Ave Chula Vista, CA 91911",QFaZwz-pIzuH2EpXhV9BGQ,4.5,39,$$,32.6016654968262,-117.028869628906
133,VOM FASS Oils Vinegars Spirits,"1201 1st St Ste 101 Coronado, CA 92118",TUM0NpHWxJpMHgw-ZKYFZQ,5.0,69,$$,32.698874,-117.170154
134,La Costa Wine Co,"7750 El Camino Real Ste MB Carlsbad, CA 92009",a__IRql_zCT2m7FQR4b3Sw,4.5,108,$$,33.0821934,-117.2663541
135,Five Star Tours & Charter Bus Company,"1050 Kettner Blvd San Diego, CA 92101",vA5DTHtZUFx1En8HY_hdRQ,3.0,346,,32.7167869880176,-117.169328257442
136,5 Star Market & Liquor,"7495 University Ave La Mesa, CA 91941",554hlhnhhj89YpErDfGQdg,4.5,17,,32.75813,-117.03604
137,Sunset Market,"985 Broadway Chula Vista, CA 91911",iaieGmasGrQoD9wcrQMk_w,4.5,18,$$,32.614299,-117.082527
138,Turista Libre,"San Diego, CA 92173",L-RzyEzgb6_NSiGOyzL3gA,5.0,169,,32.5438,-117.03579
139,Whispering Trees Market,"88 E Bonita Rd Chula Vista, CA 91910",Wc3LYa6rLwFtZH8Kz5-DUQ,4.0,109,$,32.6477444982402,-117.06448730249
140,Cactus Star Vineyard at Scaredy Cat Ranch,"17029 Handlebar Rd Ramona, CA 92065",ZeiVSF1SMdVVSkiGE7qaSg,5.0,8,$,33.02015,-116.92814
141,Fountain Liquor,"581 N Mollison Ave El Cajon, CA 92021",hjNjX80rmywnUwNT8oV0ZQ,2.5,4,$$,32.8019426,-116.9509003
142,San Diego Limobuses,"3333 Midway Dr Ste 206 San Diego, CA 92110",SCaFGyzrTGTI6aQHhLxbgA,3.0,46,,32.75006,-117.21138
143,Alpine Discount Liquor,"2223 Alpine Blvd Alpine, CA 91901",-ARx5ShNxJgjyahKnikTnA,3.5,3,$,32.8352874,-116.7659099
144,Village Wine & Spirits,"1552 Encinitas Blvd Encinitas, CA 92024",XkGnb-YxP5MK_ok1X011RA,4.0,24,$$,33.0458964,-117.2555835
145,The Destination Wedding Group,"Escondido, CA 92033",lJwxe_fjdt-e8xPrDq63fA,5.0,18,,33.12347,-117.08652
146,BevMo!,"168 S Solana Hills Dr Solana Beach, CA 92075",m2LBkxbaDBg2VDFAW4Q9Gg,3.0,31,$$,32.9946263099766,-117.257885867471
